0.63023-0.45704i	0.63085-0.45237i	0.63148-0.44771i	0.6321-0.44304i	0.63273-0.43838i	0.63335-0.43371i	0.63383-0.42893i	0.63414-0.42404i	0.63446-0.41915i	0.63477-0.41425i	0.63508-0.40936i	0.6354-0.40446i	0.63544-0.39938i	0.63544-0.39427i
1.2882+0.14882i	1.2787+0.15663i	1.2693+0.16444i	1.2599+0.17224i	1.2504+0.18005i	1.241+0.18786i	1.2313+0.19561i	1.2212+0.20331i	1.2112+0.211i	1.2012+0.2187i	1.1912+0.2264i	1.1811+0.23409i	1.1706+0.24166i	1.16+0.24922i
1.3087+0.12303i	1.2996+0.13171i	1.2904+0.14039i	1.2813+0.14907i	1.2722+0.15775i	1.2631+0.16642i	1.2537+0.17506i	1.244+0.18364i	1.2342+0.19222i	1.2245+0.2008i	1.2148+0.20938i	1.2051+0.21796i	1.1948+0.22643i	1.1845+0.23489i
1.3233+0.092663i	1.3146+0.10211i	1.306+0.11155i	1.2973+0.121i	1.2886+0.13044i	1.28+0.13988i	1.271+0.14929i	1.2617+0.15866i	1.2524+0.16802i	1.2432+0.17738i	1.2339+0.18675i	1.2246+0.19611i	1.2148+0.20538i	1.2049+0.21463i
1.3307+0.059503i	1.3226+0.06959i	1.3145+0.079677i	1.3063+0.089765i	1.2982+0.099852i	1.2901+0.10994i	1.2817+0.12i	1.273+0.13002i	1.2642+0.14005i	1.2555+0.15007i	1.2468+0.1601i	1.238+0.17012i	1.2288+0.18006i	1.2195+0.18999i
1.3302+0.025724i	1.3227+0.036319i	1.3153+0.046914i	1.3078+0.057509i	1.3003+0.068104i	1.2928+0.078699i	1.285+0.089273i	1.2769+0.099825i	1.2688+0.11038i	1.2607+0.12093i	1.2526+0.13148i	1.2445+0.14203i	1.2358+0.15251i	1.2271+0.16299i
1.3223-0.0065438i	1.3155+0.0044208i	1.3086+0.015385i	1.3018+0.02635i	1.295+0.037315i	1.2882+0.048279i	1.2811+0.059232i	1.2736+0.070171i	1.2662+0.08111i	1.2588+0.092049i	1.2513+0.10299i	1.2439+0.11393i	1.2359+0.12481i	1.2279+0.13569i
1.3078-0.035573i	1.3017-0.024374i	1.2955-0.013176i	1.2894-0.0019775i	1.2833+0.0092208i	1.2772+0.020419i	1.2707+0.031614i	1.264+0.042804i	1.2572+0.053995i	1.2505+0.065185i	1.2438+0.076376i	1.237+0.087566i	1.2298+0.098719i	1.2224+0.10987i
1.2883-0.060263i	1.2828-0.048961i	1.2774-0.037658i	1.2719-0.026356i	1.2665-0.015053i	1.261-0.0037506i	1.2553+0.007556i	1.2492+0.018867i	1.2432+0.030178i	1.2371+0.041488i	1.2311+0.052799i	1.225+0.06411i	1.2184+0.075397i	1.2118+0.086681i
1.2651-0.080194i	1.2603-0.068908i	1.2555-0.057623i	1.2507-0.046337i	1.2459-0.035051i	1.2412-0.023766i	1.2361-0.012469i	1.2307-0.0011614i	1.2253+0.010147i	1.2199+0.021454i	1.2145+0.032762i	1.2091+0.04407i	1.2033+0.055367i	1.1973+0.066662i
1.2395-0.095482i	1.2354-0.084325i	1.2312-0.073168i	1.227-0.062011i	1.2228-0.050854i	1.2187-0.039697i	1.2142-0.028524i	1.2095-0.017333i	1.2047-0.0061427i	1.1999+0.005048i	1.1952+0.016239i	1.1904+0.027429i	1.1852+0.038619i	1.1799+0.049809i
1.2123-0.10652i	1.2087-0.095593i	1.2051-0.084666i	1.2015-0.073739i	1.1979-0.062813i	1.1943-0.051886i	1.1904-0.040939i	1.1862-0.02997i	1.182-0.019001i	1.1778-0.0080314i	1.1737+0.0029377i	1.1695+0.013907i	1.1648+0.024883i	1.1601+0.035861i
1.1838-0.11366i	1.1807-0.10305i	1.1776-0.092447i	1.1745-0.08184i	1.1713-0.071233i	1.1682-0.060626i	1.1648-0.049996i	1.1611-0.039341i	1.1575-0.028686i	1.1538-0.018031i	1.1501-0.0073758i	1.1464+0.0032793i	1.1423+0.013947i	1.138+0.024617i
1.154-0.11696i	1.1513-0.10675i	1.1486-0.096535i	1.1459-0.086323i	1.1431-0.076111i	1.1404-0.065898i	1.1374-0.055661i	1.1341-0.045398i	1.1309-0.035134i	1.1276-0.024871i	1.1243-0.014608i	1.1211-0.0043444i	1.1174+0.0059351i	1.1136+0.016217i
1.1229-0.11604i	1.1205-0.10628i	1.1181-0.096519i	1.1156-0.086757i	1.1132-0.076995i	1.1108-0.067233i	1.1081-0.057446i	1.1052-0.047634i	1.1022-0.037821i	1.0992-0.028008i	1.0963-0.018195i	1.0933-0.0083822i	1.0899+0.0014473i	1.0865+0.011279i
1.0908-0.11016i	1.0886-0.10088i	1.0863-0.091597i	1.0841-0.082318i	1.0818-0.073039i	1.0796-0.06376i	1.0771-0.054457i	1.0744-0.04513i	1.0716-0.035803i	1.0689-0.026476i	1.0661-0.017149i	1.0634-0.0078223i	1.0602+0.0015198i	1.0569+0.010864i
1.0585-0.098383i	1.0563-0.089592i	1.0542-0.080801i	1.052-0.07201i	1.0498-0.063219i	1.0477-0.054427i	1.0453-0.045616i	1.0426-0.036783i	1.0399-0.027949i	1.0373-0.019116i	1.0346-0.010283i	1.032-0.0014494i	1.0289+0.007395i	1.0257+0.016241i
1.0275-0.07999i	1.0253-0.071662i	1.0231-0.063335i	1.0209-0.055008i	1.0187-0.046681i	1.0165-0.038354i	1.014-0.03001i	1.0113-0.021649i	1.0087-0.013287i	1.006-0.004926i	1.0033+0.0034354i	1.0006+0.011797i	0.99749+0.020163i	0.99433+0.02853i
0.99983-0.054785i	0.99749-0.046869i	0.99514-0.038953i	0.9928-0.031037i	0.99045-0.02312i	0.9881-0.015204i	0.98553-0.0072765i	0.98271+0.00066382i	0.9799+0.0086042i	0.97708+0.016545i	0.97426+0.024485i	0.97144+0.032425i	0.96822+0.040363i	0.96494+0.0483i
0.97777-0.023417i	0.97521-0.015834i	0.97265-0.0082511i	0.97008-0.00066821i	0.96752+0.0069147i	0.96495+0.014498i	0.96217+0.022087i	0.95914+0.029682i	0.95611+0.037278i	0.95309+0.044874i	0.95006+0.052469i	0.94703+0.060065i	0.94361+0.067648i	0.94013+0.07523i
0.96349+0.012497i	0.96066+0.019843i	0.95782+0.027188i	0.95499+0.034534i	0.95216+0.041879i	0.94932+0.049225i	0.94627+0.05657i	0.94298+0.063916i	0.93969+0.071261i	0.9364+0.078607i	0.93311+0.085953i	0.92982+0.093299i	0.92613+0.10062i	0.92239+0.10794i
0.95854+0.050451i	0.95542+0.057664i	0.9523+0.064876i	0.94918+0.072088i	0.94606+0.079301i	0.94294+0.086513i	0.9396+0.093719i	0.93602+0.10092i	0.93245+0.10812i	0.92887+0.11532i	0.9253+0.12252i	0.92172+0.12972i	0.91775+0.13688i	0.91373+0.14405i
0.96352+0.087342i	0.96013+0.094523i	0.95674+0.1017i	0.95335+0.10889i	0.94995+0.11607i	0.94656+0.12325i	0.94295+0.13042i	0.9391+0.13757i	0.93525+0.14473i	0.9314+0.15189i	0.92755+0.15904i	0.9237+0.1662i	0.91946+0.17331i	0.91517+0.18042i
0.97785+0.11991i	0.97423+0.12715i	0.97061+0.13439i	0.96699+0.14163i	0.96337+0.14887i	0.95975+0.15611i	0.95591+0.16334i	0.95183+0.17054i	0.94775+0.17775i	0.94367+0.18495i	0.93959+0.19216i	0.93552+0.19936i	0.93104+0.20651i	0.92652+0.21365i
0.99975+0.14526i	0.99597+0.15263i	0.9922+0.16i	0.98842+0.16737i	0.98465+0.17474i	0.98087+0.18211i	0.97687+0.18945i	0.97263+0.19678i	0.96839+0.2041i	0.96414+0.21142i	0.9599+0.21875i	0.95566+0.22607i	0.95102+0.23333i	0.94632+0.24059i
