0.63023-0.45704i	0.63085-0.45237i	0.63148-0.44771i	0.6321-0.44304i	0.63273-0.43838i	0.63335-0.43371i	0.63383-0.42893i	0.63414-0.42404i	0.63446-0.41915i	0.63477-0.41425i	0.63508-0.40936i	0.6354-0.40446i	0.63544-0.39938i	0.63544-0.39427i
0.20589-0.49951i	0.19734-0.50024i	0.18878-0.50098i	0.18023-0.50171i	0.17168-0.50244i	0.16313-0.50318i	0.1545-0.50384i	0.1458-0.50442i	0.1371-0.50501i	0.1284-0.5056i	0.1197-0.50618i	0.111-0.50677i	0.10219-0.50722i	0.093359-0.50766i
0.11827-0.46019i	0.10977-0.46112i	0.10127-0.46204i	0.092767-0.46296i	0.084265-0.46388i	0.075763-0.4648i	0.067206-0.46566i	0.058592-0.46646i	0.049978-0.46725i	0.041363-0.46805i	0.032749-0.46884i	0.024135-0.46963i	0.015442-0.47031i	0.0067393-0.47097i
0.037658-0.40629i	0.029176-0.40739i	0.020694-0.40849i	0.012212-0.40959i	0.0037303-0.4107i	-0.0047515-0.4118i	-0.013272-0.41285i	-0.021834-0.41385i	-0.030396-0.41485i	-0.038959-0.41584i	-0.047521-0.41684i	-0.056083-0.41784i	-0.064695-0.41874i	-0.073314-0.41962i
-0.032636-0.33922i	-0.041121-0.34048i	-0.049606-0.34174i	-0.058091-0.34301i	-0.066576-0.34427i	-0.075061-0.34553i	-0.083572-0.34676i	-0.092111-0.34794i	-0.10065-0.34913i	-0.10919-0.35031i	-0.11773-0.3515i	-0.12627-0.35269i	-0.13483-0.3538i	-0.1434-0.3549i
-0.089651-0.26149i	-0.098152-0.26289i	-0.10665-0.26428i	-0.11515-0.26568i	-0.12366-0.26708i	-0.13216-0.26847i	-0.14067-0.26985i	-0.14921-0.2712i	-0.15775-0.27255i	-0.16628-0.2739i	-0.17482-0.27525i	-0.18335-0.2766i	-0.1919-0.2779i	-0.20044-0.2792i
-0.13125-0.17653i	-0.13976-0.17803i	-0.14828-0.17954i	-0.1568-0.18104i	-0.16531-0.18254i	-0.17383-0.18405i	-0.18236-0.18554i	-0.1909-0.18703i	-0.19943-0.18852i	-0.20797-0.19001i	-0.21651-0.1915i	-0.22505-0.19298i	-0.23358-0.19445i	-0.24212-0.19592i
-0.15644-0.088357i	-0.16496-0.089941i	-0.17348-0.091526i	-0.182-0.09311i	-0.19052-0.094695i	-0.19904-0.096279i	-0.20756-0.097872i	-0.2161-0.099475i	-0.22463-0.10108i	-0.23317-0.10268i	-0.2417-0.10428i	-0.25024-0.10589i	-0.25876-0.1075i	-0.26729-0.10911i
-0.16558-0.0010705i	-0.17408-0.0027222i	-0.18258-0.0043739i	-0.19108-0.0060255i	-0.19958-0.0076772i	-0.20808-0.0093289i	-0.21659-0.011005i	-0.2251-0.012706i	-0.23362-0.014408i	-0.24213-0.01611i	-0.25065-0.017811i	-0.25916-0.019513i	-0.26767-0.021252i	-0.27617-0.022996i
-0.16031+0.081652i	-0.16877+0.079935i	-0.17722+0.078218i	-0.18567+0.076501i	-0.19413+0.074783i	-0.20258+0.073066i	-0.21104+0.071311i	-0.21952+0.069515i	-0.22799+0.067719i	-0.23646+0.065923i	-0.24494+0.064127i	-0.25341+0.062331i	-0.26188+0.060472i	-0.27034+0.058605i
-0.14327+0.15702i	-0.15165+0.15523i	-0.16003+0.15343i	-0.16841+0.15164i	-0.17679+0.14984i	-0.18517+0.14805i	-0.19356+0.1462i	-0.20197+0.1443i	-0.21038+0.14241i	-0.21879+0.14051i	-0.2272+0.13861i	-0.23561+0.13671i	-0.24403+0.13473i	-0.25244+0.13273i
-0.11764+0.22342i	-0.12592+0.22152i	-0.13421+0.21963i	-0.1425+0.21773i	-0.15078+0.21583i	-0.15907+0.21394i	-0.16738+0.21198i	-0.17571+0.20996i	-0.18404+0.20794i	-0.19237+0.20592i	-0.20071+0.2039i	-0.20904+0.20188i	-0.21738+0.19976i	-0.22573+0.19762i
-0.086645+0.28046i	-0.094831+0.27843i	-0.10302+0.2764i	-0.1112+0.27437i	-0.11939+0.27234i	-0.12758+0.27031i	-0.13579+0.26822i	-0.14404+0.26605i	-0.15228+0.26388i	-0.16053+0.26171i	-0.16877+0.25954i	-0.17702+0.25737i	-0.1853+0.25509i	-0.19357+0.25279i
-0.053083+0.32883i	-0.061173+0.32663i	-0.069262+0.32444i	-0.077352+0.32224i	-0.085442+0.32004i	-0.093532+0.31785i	-0.10166+0.31558i	-0.10982+0.31323i	-0.11799+0.31089i	-0.12615+0.30854i	-0.13432+0.3062i	-0.14248+0.30385i	-0.15069+0.30138i	-0.15891+0.29889i
-0.018962+0.36993i	-0.026972+0.36753i	-0.034982+0.36514i	-0.042992+0.36274i	-0.051002+0.36035i	-0.059012+0.35796i	-0.067065+0.35549i	-0.075166+0.35294i	-0.083267+0.35039i	-0.091367+0.34784i	-0.099468+0.34529i	-0.10757+0.34274i	-0.11573+0.34006i	-0.12389+0.33736i
0.014614+0.40543i	0.0066585+0.40282i	-0.0012972+0.4002i	-0.0092529+0.39759i	-0.017209+0.39497i	-0.025164+0.39236i	-0.03317+0.38966i	-0.04123+0.38689i	-0.049289+0.38412i	-0.057349+0.38134i	-0.065409+0.37857i	-0.073468+0.3758i	-0.081596+0.37289i	-0.089734+0.36997i
0.047368+0.43689i	0.039436+0.43404i	0.031504+0.43119i	0.023572+0.42833i	0.01564+0.42548i	0.0077074+0.42263i	-0.00028006+0.4197i	-0.0083267+0.41669i	-0.016373+0.41368i	-0.02442+0.41067i	-0.032466+0.40767i	-0.040513+0.40466i	-0.048638+0.40152i	-0.056773+0.39836i
0.07959+0.46539i	0.07165+0.46229i	0.06371+0.4592i	0.05577+0.4561i	0.04783+0.45301i	0.03989+0.44991i	0.031891+0.44674i	0.023829+0.4435i	0.015768+0.44025i	0.0077056+0.437i	-0.00035639+0.43375i	-0.0084184+0.4305i	-0.016565+0.42712i	-0.024723+0.42373i
0.11179+0.49142i	0.10381+0.48809i	0.095834+0.48475i	0.087858+0.48142i	0.079881+0.47808i	0.071904+0.47475i	0.063866+0.47134i	0.055763+0.46785i	0.04766+0.46436i	0.039557+0.46088i	0.031454+0.45739i	0.023351+0.4539i	0.015159+0.45029i	0.0069548+0.44666i
0.14434+0.515i	0.1363+0.51143i	0.12827+0.50786i	0.12023+0.50429i	0.11219+0.50072i	0.10415+0.49714i	0.096049+0.4935i	0.087882+0.48978i	0.079716+0.48606i	0.071549+0.48234i	0.063383+0.47862i	0.055216+0.47489i	0.04696+0.47105i	0.038691+0.46719i
0.17727+0.53582i	0.16915+0.53202i	0.16103+0.52822i	0.1529+0.52441i	0.14478+0.52061i	0.13666+0.51681i	0.12848+0.51294i	0.12023+0.50899i	0.11198+0.50504i	0.10373+0.50109i	0.095479+0.49713i	0.08723+0.49318i	0.078891+0.48911i	0.070541+0.48502i
0.21015+0.5536i	0.20193+0.54957i	0.1937+0.54554i	0.18547+0.54151i	0.17724+0.53749i	0.16902+0.53346i	0.16073+0.52936i	0.15238+0.52518i	0.14403+0.521i	0.13568+0.51683i	0.12733+0.51265i	0.11898+0.50847i	0.11054+0.50417i	0.10209+0.49985i
0.24223+0.56836i	0.23388+0.5641i	0.22552+0.55985i	0.21717+0.5556i	0.20881+0.55135i	0.20046+0.5471i	0.19205+0.54278i	0.18357+0.53838i	0.1751+0.53397i	0.16662+0.52957i	0.15815+0.52517i	0.14967+0.52076i	0.14111+0.51623i	0.13254+0.51169i
0.27266+0.5806i	0.26415+0.57613i	0.25565+0.57166i	0.24714+0.56719i	0.23863+0.56272i	0.23012+0.55825i	0.22155+0.55371i	0.21293+0.54908i	0.2043+0.54445i	0.19567+0.53983i	0.18705+0.5352i	0.17842+0.53057i	0.16972+0.52581i	0.161+0.52104i
0.30084+0.59133i	0.29215+0.58665i	0.28345+0.58197i	0.27475+0.5773i	0.26605+0.57262i	0.25735+0.56794i	0.2486+0.56318i	0.23979+0.55833i	0.23098+0.55349i	0.22217+0.54864i	0.21336+0.54379i	0.20455+0.53895i	0.19566+0.53396i	0.18677+0.52896i
0.32668+0.6019i	0.31775+0.59703i	0.30883+0.59216i	0.2999+0.58728i	0.29098+0.58241i	0.28205+0.57754i	0.27307+0.57258i	0.26404+0.56753i	0.25501+0.56248i	0.24597+0.55743i	0.23694+0.55238i	0.2279+0.54733i	0.21879+0.54213i	0.20968+0.53691i
0.35075+0.61369i	0.34156+0.60865i	0.33237+0.60361i	0.32318+0.59858i	0.31398+0.59354i	0.30479+0.5885i	0.29555+0.58337i	0.28625+0.57814i	0.27695+0.57291i	0.26765+0.56768i	0.25835+0.56245i	0.24904+0.55723i	0.23967+0.55184i	0.23029+0.54643i
0.37433+0.62774i	0.36483+0.62258i	0.35534+0.61742i	0.34584+0.61226i	0.33635+0.6071i	0.32685+0.60194i	0.31731+0.59668i	0.3077+0.59132i	0.29809+0.58595i	0.28849+0.58058i	0.27888+0.57522i	0.26927+0.56985i	0.25959+0.56431i	0.24991+0.55875i
0.39915+0.64447i	0.38932+0.63924i	0.3795+0.63401i	0.36967+0.62879i	0.35984+0.62356i	0.35002+0.61833i	0.34013+0.613i	0.33019+0.60755i	0.32025+0.6021i	0.31031+0.59665i	0.30036+0.5912i	0.29042+0.58575i	0.2804+0.58011i	0.27037+0.57445i
0.42707+0.66342i	0.4169+0.65819i	0.40673+0.65296i	0.39656+0.64773i	0.38639+0.6425i	0.37622+0.63727i	0.36599+0.63192i	0.35569+0.62646i	0.34539+0.62099i	0.3351+0.61552i	0.3248+0.61005i	0.31451+0.60458i	0.30413+0.59891i	0.29373+0.59322i
0.45968+0.68329i	0.44917+0.67813i	0.43865+0.67297i	0.42814+0.6678i	0.41763+0.66264i	0.40712+0.65748i	0.39654+0.6522i	0.38589+0.64678i	0.37524+0.64136i	0.36459+0.63595i	0.35394+0.63053i	0.34329+0.62511i	0.33255+0.61948i	0.3218+0.61382i
0.49787+0.70213i	0.48704+0.6971i	0.47621+0.69208i	0.46538+0.68705i	0.45455+0.68203i	0.44372+0.677i	0.43282+0.67184i	0.42183+0.66655i	0.41085+0.66125i	0.39987+0.65596i	0.38888+0.65066i	0.3779+0.64536i	0.36681+0.63984i	0.35571+0.63429i
0.54165+0.71769i	0.53054+0.71286i	0.51943+0.70803i	0.50832+0.7032i	0.49721+0.69837i	0.48611+0.69354i	0.47491+0.68857i	0.46363+0.68345i	0.45235+0.67834i	0.44107+0.67323i	0.42979+0.66811i	0.41851+0.663i	0.40711+0.65765i	0.39568+0.65226i
0.59004+0.72787i	0.5787+0.72328i	0.56737+0.71869i	0.55603+0.7141i	0.5447+0.70951i	0.53336+0.70492i	0.52193+0.70019i	0.5104+0.69531i	0.49888+0.69042i	0.48735+0.68554i	0.47582+0.68066i	0.46429+0.67578i	0.45262+0.67065i	0.44092+0.66548i
0.64127+0.73115i	0.62977+0.72683i	0.61827+0.72251i	0.60676+0.71819i	0.59526+0.71387i	0.58376+0.70955i	0.57215+0.70508i	0.56043+0.70047i	0.54871+0.69585i	0.53698+0.69123i	0.52526+0.68661i	0.51354+0.68199i	0.50166+0.67712i	0.48975+0.67222i
0.69313+0.72686i	0.68151+0.72283i	0.6699+0.71879i	0.65829+0.71475i	0.64668+0.71071i	0.63507+0.70667i	0.62334+0.70249i	0.61148+0.69816i	0.59962+0.69382i	0.58777+0.68948i	0.57591+0.68515i	0.56405+0.68081i	0.55201+0.67622i	0.53994+0.67159i
0.74336+0.71531i	0.73169+0.71156i	0.72003+0.7078i	0.70836+0.70404i	0.69669+0.70029i	0.68502+0.69653i	0.67323+0.69263i	0.66129+0.68858i	0.64935+0.68453i	0.63741+0.68048i	0.62547+0.67643i	0.61354+0.67238i	0.60139+0.66808i	0.58921+0.66374i
0.79016+0.69765i	0.77848+0.69416i	0.7668+0.69068i	0.75512+0.6872i	0.74344+0.68371i	0.73177+0.68023i	0.71995+0.67661i	0.70797+0.67284i	0.696+0.66907i	0.68402+0.6653i	0.67205+0.66153i	0.66008+0.65776i	0.64787+0.65374i	0.63564+0.6497i
0.83243+0.67556i	0.82078+0.67233i	0.80913+0.66911i	0.79747+0.66588i	0.78582+0.66266i	0.77417+0.65943i	0.76236+0.65608i	0.75039+0.65258i	0.73842+0.64908i	0.72645+0.64559i	0.71447+0.64209i	0.7025+0.63859i	0.69028+0.63486i	0.67802+0.63109i
0.86998+0.65086i	0.85838+0.64788i	0.84678+0.6449i	0.83518+0.64192i	0.82358+0.63895i	0.81199+0.63597i	0.80022+0.63287i	0.78828+0.62963i	0.77634+0.6264i	0.76441+0.62316i	0.75247+0.61992i	0.74053+0.61669i	0.72832+0.61323i	0.71607+0.60975i
0.9034+0.62508i	0.89188+0.62234i	0.88036+0.6196i	0.86883+0.61685i	0.85731+0.61411i	0.84579+0.61137i	0.83409+0.60851i	0.82221+0.60553i	0.81033+0.60255i	0.79846+0.59957i	0.78658+0.59659i	0.7747+0.59361i	0.76253+0.59042i	0.75033+0.58721i
0.93382+0.59912i	0.92239+0.59661i	0.91097+0.59409i	0.89954+0.59158i	0.88812+0.58907i	0.8767+0.58655i	0.86509+0.58393i	0.8533+0.5812i	0.84151+0.57847i	0.82971+0.57574i	0.81792+0.57301i	0.80613+0.57028i	0.79404+0.56737i	0.78191+0.56443i
0.96249+0.57311i	0.95119+0.57082i	0.93989+0.56853i	0.92859+0.56624i	0.91729+0.56395i	0.90599+0.56166i	0.89451+0.55928i	0.88283+0.5568i	0.87115+0.55431i	0.85947+0.55183i	0.8478+0.54935i	0.83612+0.54686i	0.82413+0.54421i	0.81211+0.54154i
0.99046+0.54647i	0.97931+0.5444i	0.96816+0.54233i	0.95701+0.54026i	0.94586+0.53819i	0.93471+0.53612i	0.92338+0.53396i	0.91185+0.53172i	0.90031+0.52948i	0.88878+0.52724i	0.87725+0.525i	0.86572+0.52275i	0.85388+0.52036i	0.842+0.51795i
1.0182+0.51815i	1.0072+0.51628i	0.99622+0.51442i	0.98526+0.51256i	0.97429+0.5107i	0.96333+0.50884i	0.95217+0.50691i	0.94083+0.50489i	0.92948+0.50288i	0.91813+0.50087i	0.90678+0.49886i	0.89543+0.49685i	0.88377+0.49471i	0.87207+0.49255i
1.0453+0.48697i	1.0346+0.4853i	1.0238+0.48363i	1.0131+0.48196i	1.0023+0.4803i	0.99158+0.47863i	0.98065+0.4769i	0.96952+0.4751i	0.95839+0.4733i	0.94726+0.47151i	0.93613+0.46971i	0.925+0.46791i	0.91356+0.46601i	0.90207+0.46408i
1.071+0.45203i	1.0605+0.45053i	1.05+0.44904i	1.0395+0.44754i	1.029+0.44604i	1.0185+0.44454i	1.0079+0.44299i	0.99698+0.44138i	0.9861+0.43978i	0.97523+0.43817i	0.96435+0.43656i	0.95347+0.43496i	0.94228+0.43325i	0.93106+0.43154i
1.094+0.413i	1.0837+0.41164i	1.0735+0.41029i	1.0633+0.40893i	1.0531+0.40757i	1.0428+0.40622i	1.0324+0.40482i	1.0218+0.40337i	1.0112+0.40192i	1.0006+0.40047i	0.99003+0.39902i	0.97943+0.39757i	0.96853+0.39604i	0.95758+0.3945i
1.1126+0.37023i	1.1027+0.36899i	1.0928+0.36774i	1.0828+0.36649i	1.0729+0.36524i	1.0629+0.364i	1.0528+0.36271i	1.0425+0.36139i	1.0322+0.36006i	1.0219+0.35874i	1.0116+0.35741i	1.0013+0.35609i	0.99074+0.3547i	0.9801+0.3533i
1.1259+0.32475i	1.1162+0.32358i	1.1066+0.32241i	1.097+0.32124i	1.0873+0.32007i	1.0777+0.3189i	1.0679+0.3177i	1.0579+0.31646i	1.0479+0.31523i	1.0379+0.314i	1.0279+0.31276i	1.0179+0.31153i	1.0076+0.31024i	0.99733+0.30895i
1.1331+0.27798i	1.1237+0.27686i	1.1144+0.27574i	1.1051+0.27462i	1.0957+0.27351i	1.0864+0.27239i	1.0769+0.27124i	1.0672+0.27007i	1.0575+0.2689i	1.0479+0.26773i	1.0382+0.26656i	1.0285+0.26539i	1.0186+0.26417i	1.0086+0.26295i
1.1343+0.23145i	1.1253+0.23037i	1.1162+0.22928i	1.1072+0.2282i	1.0982+0.22711i	1.0891+0.22602i	1.0799+0.22492i	1.0706+0.22379i	1.0612+0.22266i	1.0519+0.22153i	1.0425+0.2204i	1.0331+0.21927i	1.0235+0.2181i	1.0138+0.21693i
1.1303+0.18643i	1.1215+0.18536i	1.1128+0.1843i	1.1041+0.18323i	1.0954+0.18217i	1.0866+0.1811i	1.0777+0.18002i	1.0687+0.17892i	1.0596+0.17782i	1.0506+0.17672i	1.0415+0.17562i	1.0325+0.17452i	1.0232+0.17339i	1.0138+0.17226i
1.1221+0.14361i	1.1137+0.14256i	1.1052+0.14152i	1.0968+0.14047i	1.0884+0.13942i	1.08+0.13837i	1.0714+0.13731i	1.0627+0.13623i	1.054+0.13515i	1.0453+0.13407i	1.0365+0.13299i	1.0278+0.13192i	1.0188+0.13081i	1.0098+0.12971i
1.1109+0.10306i	1.1028+0.10202i	1.0947+0.10099i	1.0866+0.099952i	1.0785+0.098917i	1.0705+0.097882i	1.0622+0.096834i	1.0539+0.095772i	1.0455+0.09471i	1.0371+0.093649i	1.0287+0.092587i	1.0203+0.091525i	1.0117+0.090443i	1.003+0.089357i
1.0976+0.064229i	1.0898+0.063199i	1.0821+0.062169i	1.0744+0.061138i	1.0667+0.060108i	1.0589+0.059078i	1.0511+0.058036i	1.0431+0.056983i	1.0351+0.055929i	1.027+0.054875i	1.019+0.053822i	1.011+0.052768i	1.0028+0.051695i	0.99449+0.05062i
1.0824+0.026248i	1.0751+0.025205i	1.0677+0.024161i	1.0604+0.023118i	1.0531+0.022075i	1.0458+0.021031i	1.0383+0.019978i	1.0307+0.018913i	1.0231+0.017848i	1.0155+0.016784i	1.0079+0.015719i	1.0003+0.014654i	0.99245+0.013573i	0.98459+0.012489i
1.065-0.011746i	1.0581-0.012835i	1.0512-0.013925i	1.0444-0.015015i	1.0375-0.016105i	1.0306-0.017195i	1.0236-0.018294i	1.0164-0.019403i	1.0093-0.020513i	1.0021-0.021622i	0.99496-0.022731i	0.9878-0.023841i	0.98043-0.024966i	0.97302-0.026092i
1.0444-0.050225i	1.038-0.051413i	1.0316-0.0526i	1.0252-0.053787i	1.0188-0.054974i	1.0124-0.056161i	1.0059-0.057357i	0.99922-0.058562i	0.99256-0.059767i	0.9859-0.060972i	0.97924-0.062177i	0.97257-0.063382i	0.9657-0.064601i	0.95879-0.065822i
1.0193-0.088993i	1.0134-0.090346i	1.0076-0.091699i	1.0017-0.093052i	0.99579-0.094405i	0.98991-0.095757i	0.98391-0.097118i	0.97777-0.098486i	0.97163-0.099855i	0.96549-0.10122i	0.95935-0.10259i	0.95322-0.10396i	0.94687-0.10534i	0.94049-0.10672i
0.98853-0.12706i	0.98318-0.12866i	0.97783-0.13027i	0.97248-0.13187i	0.96714-0.13347i	0.96179-0.13507i	0.95632-0.13667i	0.95072-0.13829i	0.94513-0.1399i	0.93953-0.14151i	0.93393-0.14313i	0.92834-0.14474i	0.92253-0.14636i	0.9167-0.14799i
0.95128-0.16276i	0.94646-0.1647i	0.94164-0.16663i	0.93683-0.16857i	0.93201-0.17051i	0.92719-0.17245i	0.92226-0.17439i	0.9172-0.17634i	0.91214-0.17829i	0.90709-0.18024i	0.90203-0.18219i	0.89697-0.18413i	0.89171-0.18609i	0.88642-0.18804i
0.90761-0.19399i	0.9033-0.19635i	0.89899-0.19872i	0.89468-0.20109i	0.89037-0.20345i	0.88606-0.20582i	0.88164-0.20819i	0.8771-0.21057i	0.87256-0.21294i	0.86801-0.21531i	0.86347-0.21769i	0.85893-0.22006i	0.85419-0.22244i	0.84942-0.22481i
0.85852-0.21866i	0.85467-0.22154i	0.85082-0.22442i	0.84698-0.2273i	0.84313-0.23018i	0.83928-0.23307i	0.83533-0.23595i	0.83125-0.23883i	0.82718-0.24172i	0.82311-0.24461i	0.81904-0.24749i	0.81497-0.25038i	0.81071-0.25326i	0.80642-0.25614i
0.80587-0.23513i	0.80242-0.2386i	0.79897-0.24207i	0.79552-0.24554i	0.79208-0.24901i	0.78863-0.25249i	0.78508-0.25596i	0.78141-0.25943i	0.77775-0.2629i	0.77409-0.26637i	0.77043-0.26985i	0.76677-0.27332i	0.76292-0.27678i	0.75905-0.28025i
0.75213-0.24259i	0.74901-0.2467i	0.74588-0.25082i	0.74276-0.25494i	0.73963-0.25906i	0.73651-0.26318i	0.73329-0.2673i	0.72996-0.27143i	0.72663-0.27555i	0.72331-0.27967i	0.71998-0.28379i	0.71665-0.28791i	0.71315-0.29202i	0.70963-0.29613i
0.69996-0.24121i	0.69708-0.24603i	0.6942-0.25084i	0.69131-0.25565i	0.68843-0.26047i	0.68555-0.26528i	0.68257-0.27009i	0.6795-0.27491i	0.67642-0.27972i	0.67335-0.28453i	0.67027-0.28935i	0.6672-0.29416i	0.66396-0.29896i	0.6607-0.30377i
0.65176-0.23222i	0.64903-0.23775i	0.6463-0.24329i	0.64357-0.24883i	0.64084-0.25436i	0.63811-0.2599i	0.6353-0.26544i	0.63239-0.27097i	0.62948-0.27651i	0.62657-0.28205i	0.62366-0.28759i	0.62076-0.29313i	0.61769-0.29866i	0.61461-0.30418i
0.60924-0.21758i	0.60658-0.22386i	0.60391-0.23014i	0.60125-0.23641i	0.59858-0.24269i	0.59592-0.24896i	0.59317-0.25524i	0.59034-0.26152i	0.58751-0.2678i	0.58468-0.27408i	0.58185-0.28036i	0.57902-0.28665i	0.57604-0.29292i	0.57305-0.29919i
0.57319-0.19971i	0.5705-0.20673i	0.56781-0.21375i	0.56512-0.22077i	0.56243-0.22779i	0.55974-0.23481i	0.55698-0.24183i	0.55413-0.24886i	0.55129-0.25589i	0.54845-0.26292i	0.5456-0.26995i	0.54276-0.27698i	0.53978-0.28401i	0.53679-0.29103i
0.5434-0.18095i	0.5406-0.1887i	0.5378-0.19646i	0.535-0.20422i	0.53219-0.21198i	0.52939-0.21973i	0.52652-0.2275i	0.52357-0.23528i	0.52063-0.24305i	0.51768-0.25083i	0.51473-0.2586i	0.51179-0.26638i	0.50871-0.27415i	0.50563-0.28193i
0.51888-0.16321i	0.51588-0.17169i	0.51287-0.18017i	0.50987-0.18865i	0.50686-0.19713i	0.50386-0.20561i	0.50078-0.2141i	0.49764-0.2226i	0.4945-0.23111i	0.49136-0.23961i	0.48822-0.24812i	0.48507-0.25662i	0.48182-0.26513i	0.47854-0.27364i
0.49813-0.14772i	0.49483-0.15689i	0.49153-0.16606i	0.48822-0.17523i	0.48492-0.1844i	0.48162-0.19357i	0.47826-0.20275i	0.47483-0.21196i	0.4714-0.22116i	0.46797-0.23037i	0.46454-0.23957i	0.46111-0.24878i	0.45756-0.25799i	0.45401-0.26721i
0.47952-0.13489i	0.47583-0.1447i	0.47215-0.15452i	0.46846-0.16433i	0.46477-0.17415i	0.46109-0.18396i	0.45734-0.1938i	0.45353-0.20366i	0.44971-0.21352i	0.4459-0.22338i	0.44209-0.23324i	0.43828-0.2431i	0.43436-0.25297i	0.43042-0.26285i
0.46171-0.12448i	0.45755-0.13488i	0.45339-0.14527i	0.44922-0.15567i	0.44506-0.16607i	0.4409-0.17646i	0.43668-0.18688i	0.4324-0.19733i	0.42812-0.20778i	0.42383-0.21823i	0.41955-0.22868i	0.41527-0.23913i	0.41088-0.24959i	0.40648-0.26007i
0.44381-0.11586i	0.4391-0.12676i	0.43438-0.13765i	0.42967-0.14854i	0.42496-0.15943i	0.42025-0.17033i	0.41548-0.18125i	0.41065-0.1922i	0.40581-0.20315i	0.40098-0.2141i	0.39615-0.22506i	0.39131-0.23601i	0.38638-0.24699i	0.38144-0.25797i
0.4255-0.10832i	0.42018-0.11961i	0.41485-0.13089i	0.40953-0.14218i	0.4042-0.15346i	0.39888-0.16475i	0.3935-0.17607i	0.38805-0.18742i	0.38261-0.19877i	0.37716-0.21012i	0.37172-0.22148i	0.36627-0.23283i	0.36073-0.24421i	0.35517-0.25559i
0.40689-0.10139i	0.40091-0.11295i	0.39494-0.12451i	0.38896-0.13607i	0.38299-0.14763i	0.37701-0.15919i	0.37098-0.17078i	0.36488-0.18241i	0.35879-0.19405i	0.35269-0.20568i	0.34659-0.21731i	0.34049-0.22894i	0.3343-0.24061i	0.32809-0.25228i
0.38825-0.095005i	0.38161-0.10671i	0.37497-0.11842i	0.36834-0.13013i	0.3617-0.14183i	0.35507-0.15354i	0.34837-0.16528i	0.34161-0.17707i	0.33485-0.18885i	0.32809-0.20063i	0.32133-0.21242i	0.31457-0.2242i	0.30771-0.23602i	0.30084-0.24784i
0.36971-0.089532i	0.36243-0.10126i	0.35516-0.11299i	0.34788-0.12472i	0.3406-0.13644i	0.33332-0.14817i	0.32599-0.15994i	0.31858-0.17174i	0.31118-0.18355i	0.30377-0.19536i	0.29637-0.20716i	0.28897-0.21897i	0.28147-0.23081i	0.27395-0.24266i
0.35101-0.085593i	0.34314-0.097225i	0.33527-0.10886i	0.3274-0.12049i	0.31954-0.13212i	0.31167-0.14375i	0.30374-0.15542i	0.29574-0.16713i	0.28774-0.17884i	0.27975-0.19055i	0.27175-0.20226i	0.26375-0.21397i	0.25566-0.22572i	0.24755-0.23748i
0.33133-0.083768i	0.32294-0.095205i	0.31456-0.10664i	0.30617-0.11808i	0.29779-0.12951i	0.28941-0.14095i	0.28096-0.15243i	0.27245-0.16394i	0.26393-0.17545i	0.25542-0.18697i	0.2469-0.19848i	0.23839-0.20999i	0.22978-0.22155i	0.22115-0.2331i
0.30934-0.084255i	0.30054-0.095423i	0.29173-0.10659i	0.28293-0.11776i	0.27412-0.12893i	0.26532-0.14009i	0.25645-0.1513i	0.24751-0.16254i	0.23857-0.17378i	0.22964-0.18502i	0.2207-0.19626i	0.21176-0.2075i	0.20273-0.21878i	0.19369-0.23006i
0.28346-0.086582i	0.27434-0.097435i	0.26521-0.10829i	0.25609-0.11914i	0.24697-0.12999i	0.23785-0.14085i	0.22866-0.15173i	0.21941-0.16265i	0.21016-0.17357i	0.2009-0.1845i	0.19165-0.19542i	0.1824-0.20634i	0.17305-0.21729i	0.16369-0.22825i
0.25217-0.089462i	0.24283-0.099983i	0.2335-0.1105i	0.22417-0.12102i	0.21483-0.13155i	0.2055-0.14207i	0.1961-0.15262i	0.18664-0.1632i	0.17717-0.17378i	0.16771-0.18437i	0.15825-0.19495i	0.14879-0.20553i	0.13923-0.21614i	0.12966-0.22676i
0.21445-0.090848i	0.205-0.10105i	0.19556-0.11124i	0.18611-0.12144i	0.17666-0.13164i	0.16721-0.14183i	0.1577-0.15206i	0.14813-0.16231i	0.13856-0.17256i	0.12899-0.18281i	0.11941-0.19306i	0.10984-0.20332i	0.10018-0.21359i	0.090506-0.22387i
0.17015-0.088186i	0.16067-0.098088i	0.1512-0.10799i	0.14172-0.11789i	0.13224-0.12779i	0.12276-0.1377i	0.11323-0.14762i	0.10363-0.15757i	0.09404-0.16752i	0.084445-0.17747i	0.07485-0.18741i	0.065255-0.19736i	0.055578-0.20733i	0.04589-0.21729i
0.12015-0.078824i	0.11071-0.088473i	0.10127-0.098123i	0.091836-0.10777i	0.082398-0.11742i	0.072959-0.12707i	0.063469-0.13674i	0.053924-0.14643i	0.044378-0.15612i	0.034833-0.16581i	0.025287-0.17549i	0.015742-0.18518i	0.0061232-0.19488i	-0.0035057-0.20458i
0.066387-0.060483i	0.057039-0.069932i	0.047692-0.07938i	0.038344-0.088828i	0.028997-0.098276i	0.01965-0.10772i	0.010257-0.11719i	0.00081534-0.12667i	-0.008626-0.13615i	-0.018067-0.14563i	-0.027509-0.15511i	-0.03695-0.16459i	-0.046453-0.17408i	-0.055965-0.18357i
